quantidade,tempo_sem_bloom,tempo_com_bloom,falsos_positivos,taxa_falsos_positivos,bits_usados,num_funcoes
1000,0,000000,0,000000,10,1,00,9586,7
10000,0,003000,0,004000,105,1,05,95851,7
100000,0,106000,0,139000,1015,1,01,958506,7
